"id","name","gender","age","type","country","genres","spotifyId","popularity","followers"
"2780657","Peja","male","43","person","PL","['polish hip hop']","5IQZA1dxUd3Qv73mHNln59",49,171330
"3151263","Puls","mixed","10","group","DK","[]","4YViFbS6GmZClkbUMLx1EW",32,2588
"4285560","Porter Robinson","male","28","person","US","['brostep', 'complextro', 'edm', 'electro house', 'future bass', 'moombahton', 'pop dance', 'progressive electro house']","3dz0NnIZhtKKeXZxLOxCam",64,1022270
"4613967","The Starlings","mixed","31","group","GB","['belgian pop']","1eWulCragj6PpUGCgMt6M8",32,10508
"2968519","Francisca Valenzuela","female","33","person","CL","['chilean indie', 'chilean rock', 'latin rock', 'nueva cancion', 'pop chileno', 'pop electronico']","2piHiUbXwUNNIvYyIOIUKt",54,370757
"912477","Marpo","male","35","person","CZ","['czech hip hop', 'czsk hip hop']","2cusgVvXlY17oMoDAbcdqD",44,82988
"6329971","Jinny Ng","female","28","person","HK","['c-pop', 'cantopop']","03OP7wr6EAMFBmDiaRsdbf",41,66513
"6343280","Jota Quest","mixed","27","group","BR","['axe', 'brazilian rock', 'mpb', 'pop rock brasileiro', 'rock mineiro', 'rock nacional brasileiro', 'sertanejo', 'sertanejo universitario']","5re6NsyXzHg6uvNimzQ3F6",63,1990873
"6602061","the bird and the bee","mixed","14","group","US","['indie pop', 'la indie']","65XA3lk0aG9XejO8y37jjD",44,162927
"2087957","Stephen Puth","male","26","person","US","[]","6B72wjgAkhvxTVCL6xS6mC",48,210978
"6355644","Tanya Stephens","female","47","person","JM","['dancehall', 'lovers rock', 'modern reggae', 'old school dancehall', 'reggae fusion']","0vL0HKEtNHGobKmDNarMFQ",45,144346
"4867303","Roksana Węgiel","female","15","person","PL","['polish pop']","1SgvZBHUHMBqZe7PieKJxG",39,153816
"391474","Mimi Werner","female","29","person","SE","['melodipop', 'swedish country']","3HYuDfDJCzvtSVHWpNndWD",13,2166
"5847001","Randy","mixed","28","group","SE","['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']","7qYeIN2r4H1kBvr0Gm9Iav",68,292588
"426767","Hjálmar","mixed","16","group","IS","['classic icelandic pop', 'icelandic folk', 'icelandic pop']","2o1giMbJ0BMwB2O0zU3aDo",31,12187
"3385613","Leslie Cheung","male","46","person","HK","['c-pop', 'cantopop', 'classic cantopop']","2g0QLUYku8AuPVK2udRV7i",52,446724
"6181789","Nagita","female","32","person","ID","[]","2h0D70uGUdEhpAf09LEk0Y",21,315
"1099688","Ajey Nagar (CarryMinati)","male","21","person","IN","['desi hip hop', 'hindi hip hop']","1VwNP7mP5DmTsdJqQuW0nT",47,288651
"1720032","Sass Henno","male","37","person","EE","[]","2QEjAULvTmuy5eQBHcIpzf",25,40
"282456","Jeangu Macrooy","male","26","person","NL","['dutch pop']","3t9HafA5eFHM992s4GZ0Gr",38,27334
"1566909","Phùng Khánh Linh","","36","","","['v-pop']","23Gbd21nBxC1kCtcG2Cd0C",40,77369
"1654876","Rino Gaetano","male","30","person","IT","[""canzone d'autore"", 'classic italian pop', 'italian adult pop', 'italian indie pop']","5RRPSRJpISAWEPOeSfYuhV",55,646695
"5224965","Man Keedal","mixed","52","group","GB","[]","07awnhGXYkpxqcPQal0dh8",25,32
"1106125","PastoriPike","male","32","person","FI","[]","6XzrigJYrdGKdAUud8fPUC",28,4498
"1072362","Alex Fong","male","40","person","CN","['c-pop', 'cantopop']","709dAbhS0sezd0SUJImqg4",42,34836
"3936348","The Yers","mixed","44","group","US","['thai indie', 'thai pop', 'thai rock']","7avbd4MMu89B9ueC3udvbf",37,56630
"5352684","Junior Lord","mixed","48","group","HU","['r&b brasileiro']","6rFkZxhheU9l1nODgZm4SP",43,103239
"1437973","Mad Clown","male","35","person","KR","['k-rap', 'korean pop']","0dX6tgZKWpamoFHFuXFhwd",49,114094
"3085929","Kim Na Young","female","28","person","KR","['k-pop', 'korean pop']","4dvmLXorXADxVq8EcySEWk",52,165529
"985497","Felix","male","38","person","DE","['hip house', 'rave']","6iRRErKYy1iojOaJoq6Ltk",43,7883
"4400666","El Cuarteto De Nos","mixed","36","group","UY","['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'rock uruguayo']","13JJKrUewC1CJYmIDXQNoH",65,929424
"555670","Antti Railio","male","36","person","FI","['finnish idol pop', 'iskelma']","0XgaMJ0W8fkyyo9NXDu3sT",33,5035
"1389919","Lester Williams","male","70","person","US","['belgian edm']","3V3FoZVMIZkrolqMyZk2Fd",22,15605
"6569312","Yam Refaeli","mixed","23","group","US","['israeli pop']","0VWxCUPjwYC1haUA2kCrp6",35,41784
"6389873","Kajo","mixed","34","group","FI","[]","1UtjNYOT0U3YDs1XLBoSxG",30,1048
"3293949","Kamil Bednarek","male","29","person","PL","['polish pop', 'polish reggae']","5UUsQ38YTugFjdLX82IDAE",45,160726
"2381233","Rebecka Karlsson","female","20","person","SE","['swedish pop']","5eQqcPbXB8aHmLxOTBT6Sc",15,3649
"5830704","Day","female","97","person","US","[]","5mCIbMkDuPrih8RhK7U2Dn",0,0
"1535906","Quadron","mixed","11","group","DK","['scandinavian r&b']","3GhVFlFT3pagjVkslQPqoJ",35,55477
"4766258","Hideaki Tokunaga","male","59","person","JP","['classic j-pop', 'j-pop', 'japanese singer-songwriter']","2FTUpyPZ3hqBPLwmaEH14B",47,284857
"3428733","Siti Nordiana","female","41","person","MY","['classic malaysian pop', 'malaysian pop', 'rock kapak']","7tbUHCaiBX4cXHQkII3CVH",40,158086
"6282589","The Mowgli's","mixed","10","group","US","['indie pop', 'indie poptimism', 'modern alternative rock', 'modern rock', 'pop rock', 'shimmer pop', 'stomp and holler']","6AGUQK1EWK6nvN4pLIDQDQ",55,254718
"6600499","Sara Tavares","female","42","person","PT","['afropop', 'morna', 'portuguese pop']","57zZoaRDFEjqRwq6FlT0va",38,59920
"3272355","Mötley Crüe","mixed","39","group","US","['glam metal', 'hard rock', 'metal', 'rock', 'sleaze rock']","0cc6vw3VN8YlIcvr1v7tBL",71,4161236
"3475934","Playa Limbo","mixed","15","group","MX","['latin', 'latin arena pop', 'latin pop', 'mexican pop', 'ranchera']","6XmHtVhgpE33VHFEp2V1P8",58,1636539
"5372008","The Black Keys","mixed","19","group","US","['alternative rock', 'blues rock', 'garage rock', 'modern alternative rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock']","7mnBLXK823vNxN3UWB7Gfz",70,3738677
"256231","D-Flame","male","48","person","DE","['german hip hop', 'german reggae']","3ZMCkhgFluHX0XAKYaZd1w",34,17013
"2331051","Hillsong UNITED","mixed","22","group","AU","['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']","74cb3MG0x0BOnYNW1uXYnM",69,3516748
"4758617","K3","mixed","22","group","BE","['belgian pop', 'dutch rock', 'vlaamse kinderliedje']","1eZrOVQ8ady3sDTNdG9E4D",59,211718
"5838947","Thelma Aoyama","female","32","person","JP","['j-pop']","1AU9Y5Y2Taxe4yh7AI6JRD",44,218380
"4645602","SoulJa","male","36","person","JP","[]","0wP8E9fUgYBHx1QRf3QLPT",38,2226
"4618939","Yasemin Mori","female","38","person","TR","['turkish alternative', 'turkish jazz', 'turkish rock']","1PaWbLip9XRxkmxmkzee1p",41,88724
